,log_score_0,distance_0,comp_0,log_score_1,distance_1,comp_1,log_score_2,distance_2,comp_2,log_score_3,distance_3,comp_3,log_score_4,distance_4,comp_4
127,-0.21807040611915857,1.88,1.0,-2.0557789978963426,4.5,3.0,-5.18387367579939,0.8,0.0,-4.895713244162031,0.79,3.0,-1.1693976145864085,3.86,1
128,-2.6657101671427563,0.6,1.0,-4.812488935063233,0.8,0.0,-1.1877890141514942,2.09,3.0,-13.640466131806088,0.59,0.0,-1.8693977089619125,4.5,3
129,-0.21789511564401245,7.26,1.0,-1.17273854411214,2.09,3.0,-1.1877890141515468,7.08,1.0,-1.126287493587651,6.04,3.0,-5.067047693719764,0.8,0
130,-0.21782544636275497,0.95,1.0,-1.1727385441121598,7.08,1.0,-1.1877890141742005,7.42,1.0,-4.894272067721225,1.35,2.0,-1.1663229102129433,2.09,3
131,-2.6679409770187323,1.1,1.0,-1.172738544125453,7.42,1.0,-2.540490070197721,1.24,2.0,-2.558813811894587,1.61,1.0,-1.1663229102129433,7.08,1
132,-0.21789511564401148,7.03,0.0,-2.5704994944048103,1.24,2.0,-1.1878512257765006,5.24,2.0,-4.895713244155628,2.92,2.0,-1.1663229102180075,7.42,1
133,-0.21602812738941893,5.13,1.0,-1.1727466727984366,5.24,2.0,-5.046020505218806,1.36,1.0,-1.223074140565095,7.32,0.0,-2.5151136130331317,1.24,2
134,-4.006909356162083,2.11,1.0,-4.699314147305835,1.36,1.0,-1.188769345044427,1.88,1.0,-1.1263034651682569,7.32,1.0,-1.1663650575524096,5.24,2
135,-2.4739708027001743,1.36,0.0,-1.1735117315501093,1.88,1.0,-5.16432960605892,0.6,1.0,-2.465778465556211,1.26,2.0,-4.951860160578073,1.36,1
136,-2.6726810810676698,0.79,3.0,-4.808502880600946,0.6,1.0,-1.1877890141515468,7.26,1.0,-1.1262872139887987,6.88,2.0,-1.1671142341026952,1.88,1
137,-6.80472622704425,0.59,0.0,-1.1727385441121598,7.26,1.0,-1.1997898051297726,0.95,1.0,-1.126287425947624,6.94,2.0,-5.062959661374213,0.6,1
138,-0.21789518663147758,6.04,3.0,-1.1792393838749324,0.95,1.0,-5.17098363101543,1.1,1.0,-4.758345796403304,0.6,3.0,-1.1663229102129433,7.26,1
139,-2.6712569988070967,1.35,2.0,-4.809988307706341,1.1,1.0,-1.1877890141515408,7.03,0.0,-1.1258202124454797,1.78,0.0,-1.1782125158384475,0.95,1
140,-2.44953275079107,1.61,1.0,-1.1727385441121598,7.03,0.0,-1.3156735552244831,5.13,1.0,-1.126288061848252,7.29,2.0,-5.064416252339076,1.1,1
141,-2.672681080999281,2.92,2.0,-1.2964982539791494,5.13,1.0,-4.119612261568809,2.11,1.0,-4.756940341390547,0.9,2.0,-1.1663229102129409,7.03,0
142,-0.21222571616871916,7.32,0.0,-4.4372590889462336,2.11,1.0,-5.0707172026121,1.36,0.0,-5.7812951594211555,6.91,0.0,-1.2854893053905274,5.13,1
143,-0.21789441815659458,7.32,1.0,-4.6655110688170085,1.36,0.0,-5.18387367579939,0.79,3.0,-1.1268489603800136,6.53,1.0,-4.291102915146537,2.11,1
144,-2.3576674411003147,1.26,2.0,-4.812488935063233,0.79,3.0,-14.056139962150958,0.59,0.0,-1.257257703362773,1.12,1.0,-4.963759967772379,1.36,0
145,-0.21789511564401245,6.88,2.0,-15.051044596776908,0.59,0.0,-1.1877891678663373,6.04,3.0,-2.383008814364118,2.71,2.0,-5.067047693719764,0.79,3
146,-0.21789511564401176,6.94,2.0,-1.172738606802556,6.04,3.0,-5.18249552792174,1.35,2.0,-1.1267996520261856,6.44,0.0,-13.942655686860984,0.59,0
147,-2.4465870280217383,0.6,3.0,-4.810887340259574,1.35,2.0,-2.551265730419547,1.61,1.0,-1.1262872581058936,5.03,0.0,-1.1663230222095504,6.04,3
148,-0.2178277858482171,1.78,0.0,-2.6765459956203452,1.61,1.0,-5.18387367579464,2.92,2.0,-1.1352340760995336,7.21,0.0,-5.06564970516326,1.35,2
149,-0.21789511564401245,7.29,2.0,-4.81248893505891,2.92,2.0,-1.3207317541361694,7.32,0.0,-1.0312190532364105,1.29,2.0,-2.526225488255592,1.61,1
150,-2.480136289054426,0.9,2.0,-1.2388044014483406,7.32,0.0,-1.1878131814687505,7.32,1.0,-1.12629526203415,7.37,4.0,-5.067047693714836,2.92,2
151,-3.6988519663948742,6.91,0.0,-1.1727619395966709,7.32,1.0,-2.557837523658955,1.26,2.0,-4.745705761115235,0.42,1.0,-1.2678173265505435,7.32,0
152,-0.21786746447804353,6.53,1.0,-4.249279985459678,1.26,2.0,-1.1877890141515468,6.88,2.0,-1.1264725548300971,7.37,4.0,-1.1663466773577174,7.32,1
153,-0.2162823792345835,1.12,1.0,-1.1727385441121598,6.88,2.0,-1.1877893348038795,6.94,2.0,-1.126307380841489,3.02,1.0,-2.522984273759574,1.26,2
